# MJD mag magerr filter flag distance ra dec
55285.32728  9.591  0.019 W2 10  1.3558 279.601596   0.544589
55285.59189  9.606  0.019 W2 10  1.4250 279.601609   0.544607
55285.72419  9.614  0.019 W2 10  1.4277 279.601622   0.544577
57112.41622  9.679  0.015 W2 10  0.9386 279.601510   0.544457
57476.70223  9.605  0.015 W2  0  1.0078 279.601529   0.544422
57479.19259  9.568  0.016 W2  5  1.0937 279.601546   0.544510
58011.78018  9.665  0.015 W2  5  1.0988 279.601544   0.544521
59102.61593  9.617  0.015 W2  5  1.1586 279.601564   0.544509
57291.32297  9.616  0.017 W2 10  1.1637 279.601568   0.544499
57650.95640  9.616  0.018 W2 10  1.1650 279.601560   0.544533
58379.79804  9.634  0.016 W2  5  1.1676 279.601569   0.544497
56933.13074  9.644  0.017 W2 10  1.1682 279.601565   0.544516
59103.33526  9.622  0.016 W2  5  1.1735 279.601564   0.544527
58739.04130  9.648  0.016 W2  5  1.1763 279.601561   0.544541
58371.55291  9.665  0.017 W2  5  1.1829 279.601573   0.544501
59102.87748  9.648  0.016 W2  5  1.1841 279.601571   0.544511
57650.62875  9.632  0.016 W2  5  1.1868 279.601569   0.544522
56933.39382  9.640  0.015 W2 10  1.1882 279.601570   0.544523
58738.71430  9.641  0.014 W2  5  1.1918 279.601568   0.544531
58371.81522  9.629  0.017 W2  5  1.1975 279.601579   0.544491
58739.43389  9.626  0.014 W2  5  1.1978 279.601575   0.544514
57650.69433  9.631  0.015 W2  5  1.1980 279.601573   0.544520
58011.51837  9.617  0.016 W2  5  1.1996 279.601575   0.544512
58011.38747  9.641  0.016 W2  5  1.2015 279.601577   0.544507
58372.40403  9.656  0.015 W2  5  1.2044 279.601571   0.544533
58574.74341  9.690  0.016 W2 10  1.2071 279.601572   0.544532
57650.49772  9.630  0.016 W2  5  1.2076 279.601570   0.544541
59103.00826  9.636  0.015 W2  5  1.2077 279.601577   0.544514
58371.81509  9.651  0.016 W2  5  1.2078 279.601575   0.544525
57292.30691  9.637  0.015 W2  5  1.2112 279.601575   0.544525
58939.28649  9.638  0.016 W2  5  1.2133 279.601568   0.544551
58738.97598  9.644  0.016 W2  5  1.2154 279.601579   0.544518
58739.17221  9.643  0.017 W2  5  1.2157 279.601578   0.544521
57480.04448  9.460  0.015 W2  0  1.2185 279.601568   0.544556
56932.80183  9.643  0.016 W2 10  1.2195 279.601578   0.544527
58207.85077  9.606  0.016 W2  5  1.2195 279.601575   0.544535
57292.04459  9.590  0.016 W2  5  1.2227 279.601578   0.544529
56930.23699  9.618  0.017 W2  5  1.2234 279.601581   0.544517
58371.88055  9.535  0.018 W2  5  1.2244 279.601556   0.544588
57650.82536  9.623  0.016 W2  5  1.2247 279.601576   0.544538
57651.34936  9.628  0.015 W2  5  1.2265 279.601577   0.544536
59103.72759  9.650  0.015 W2  5  1.2269 279.601576   0.544540
58738.91053  9.656  0.017 W2  5  1.2271 279.601583   0.544515
58010.79827  9.640  0.017 W2  5  1.2288 279.601587   0.544497
59103.20449  9.659  0.016 W2  5  1.2296 279.601586   0.544500
57112.02236  9.662  0.015 W2  5  1.2323 279.601576   0.544544
58939.54804  9.578  0.017 W2  0  1.2327 279.601578   0.544539
57476.63665  9.623  0.015 W2  5  1.2339 279.601558   0.544590
57650.23579  9.636  0.017 W2  5  1.2347 279.601583   0.544522
58938.82858  9.634  0.015 W2  5  1.2362 279.601569   0.544566
58574.61251  9.635  0.016 W2  5  1.2371 279.601574   0.544553
57112.74463  9.648  0.015 W2  5  1.2372 279.601573   0.544557
57843.28043  9.627  0.015 W2  5  1.2393 279.601584   0.544523
57651.21833  9.638  0.015 W2  5  1.2393 279.601580   0.544537
56932.53887  9.645  0.017 W2 10  1.2398 279.601585   0.544519
58011.32201  9.641  0.016 W2  5  1.2405 279.601588   0.544509
56932.67029  9.633  0.016 W2 10  1.2415 279.601581   0.544535
58574.87419  9.638  0.015 W2  5  1.2431 279.601584   0.544528
57650.36682  9.643  0.018 W2  5  1.2434 279.601583   0.544533
59103.07371  9.655  0.018 W2  5  1.2437 279.601580   0.544543
58372.01145  9.556  0.016 W2  5  1.2445 279.601575   0.544558
57291.58541  9.658  0.017 W2  5  1.2460 279.601590   0.544503
57651.08730  9.637  0.015 W2  5  1.2466 279.601591   0.544501
58371.94600  9.628  0.015 W2  5  1.2483 279.601590   0.544508
58371.68432  9.625  0.016 W2  5  1.2499 279.601588   0.544519
57112.28494  9.631  0.016 W2  5  1.2502 279.601585   0.544533
56929.51359  9.617  0.015 W2 10  1.2503 279.601589   0.544514
57476.76781  9.641  0.018 W2  0  1.2505 279.601577   0.544557
56930.10545  9.634  0.015 W2 10  1.2535 279.601581   0.544548
57291.97889  9.628  0.015 W2  5  1.2539 279.601588   0.544525
56932.67041  9.673  0.018 W2 10  1.2591 279.601587   0.544532
58011.25656  9.654  0.017 W2  5  1.2593 279.601583   0.544547
58207.52364  9.615  0.018 W2  5  1.2614 279.601589   0.544528
58010.92918  9.606  0.015 W2  5  1.2620 279.601590   0.544525
58938.56703  9.638  0.015 W2  5  1.2644 279.601588   0.544535
56932.40734  9.638  0.015 W2 10  1.2645 279.601587   0.544539
58207.39274  9.622  0.016 W2  5  1.2679 279.601588   0.544540
57291.78215  9.621  0.016 W2  5  1.2696 279.601590   0.544534
57291.97901  9.626  0.014 W2  5  1.2711 279.601596   0.544512
57476.44004  9.634  0.014 W2  5  1.2727 279.601586   0.544548
56932.99920  9.649  0.017 W2 10  1.2797 279.601596   0.544523
56932.86766  9.615  0.021 W2 10  1.2802 279.601596   0.544523
59103.46604  9.628  0.015 W2  5  1.2806 279.601598   0.544514
58011.78030  9.652  0.016 W2  5  1.2814 279.601594   0.544533
58739.30298  9.668  0.019 W2  5  1.2835 279.601593   0.544538
59102.74671  9.633  0.018 W2  5  1.2837 279.601597   0.544522
58372.27326  9.632  0.016 W2  5  1.2838 279.601592   0.544540
58216.09744  9.616  0.016 W2  5  1.2841 279.601591   0.544545
59103.59681  9.652  0.017 W2  5  1.2843 279.601599   0.544515
59103.26981  9.623  0.015 W2  5  1.2844 279.601599   0.544514
56750.38222  9.683  0.016 W2 10  1.2850 279.601581   0.544574
58575.07054  9.630  0.015 W2  5  1.2851 279.601591   0.544546
58738.45262  9.633  0.017 W2  5  1.2864 279.601599   0.544516
56930.36853  9.605  0.015 W2 10  1.2867 279.601592   0.544542
57477.02987  9.657  0.015 W2  5  1.2870 279.601587   0.544560
58371.74977  9.614  0.019 W2  5  1.2879 279.601596   0.544530
56750.11888  9.609  0.016 W2 10  1.2892 279.601586   0.544563
59103.13903  9.653  0.015 W2  5  1.2899 279.601597   0.544528
56932.93337  9.634  0.015 W2 10  1.2899 279.601594   0.544540
58208.11258  9.619  0.016 W2  5  1.2915 279.601595   0.544538
58207.78545  9.649  0.015 W2  5  1.2923 279.601584   0.544573
58939.41727  9.643  0.016 W2  5  1.2929 279.601588   0.544561
56933.06491  9.641  0.014 W2 10  1.2953 279.601595   0.544541
57843.60782  9.619  0.016 W2  5  1.2980 279.601595   0.544543
58011.06008  9.621  0.016 W2  5  1.2998 279.601603   0.544517
56750.57972  9.645  0.016 W2  5  1.2999 279.601589   0.544565
58371.42251  9.657  0.018 W2  5  1.2999 279.601598   0.544536
57111.75967  9.625  0.015 W2 10  1.3020 279.601588   0.544568
58738.84508  9.640  0.017 W2  5  1.3024 279.601598   0.544541
58371.29161  9.658  0.017 W2  5  1.3031 279.601602   0.544525
57292.43807  9.640  0.017 W2  5  1.3044 279.601601   0.544531
58011.64927  9.633  0.016 W2  5  1.3048 279.601597   0.544544
57843.73885  9.654  0.015 W2  5  1.3057 279.601593   0.544559
57112.35064  9.617  0.016 W2  5  1.3069 279.601588   0.544573
57650.89082  9.582  0.017 W2  5  1.3069 279.601590   0.544567
57476.30901  9.616  0.016 W2  5  1.3077 279.601597   0.544547
57651.08743  9.623  0.018 W2  5  1.3089 279.601603   0.544528
57291.71657  9.620  0.015 W2  5  1.3094 279.601599   0.544541
56750.11875  9.619  0.014 W2  5  1.3122 279.601595   0.544557
57112.41635  9.568  0.019 W2 10  1.3130 279.601614   0.544427
57476.04682  9.641  0.016 W2 10  1.3168 279.601578   0.544602
56929.64513  9.596  0.018 W2 10  1.3195 279.601609   0.544513
57291.84773  9.633  0.016 W2  5  1.3196 279.601609   0.544513
58739.10676  9.623  0.015 W2  5  1.3213 279.601609   0.544517
58575.33222  9.601  0.018 W2  5  1.3214 279.601590   0.544577
58207.78532  9.643  0.017 W2  5  1.3217 279.601597   0.544560
57112.21936  9.610  0.015 W2  5  1.3224 279.601584   0.544594
58939.15559  9.611  0.017 W2  5  1.3244 279.601602   0.544547
58207.85090  9.606  0.016 W2  5  1.3247 279.601595   0.544569
57291.45425  9.593  0.019 W2  5  1.3302 279.601596   0.544570
57291.91331  9.624  0.014 W2  5  1.3352 279.601598   0.544569
57292.17575  9.628  0.016 W2  5  1.3373 279.601613   0.544519
56750.25042  9.613  0.014 W2  5  1.3373 279.601607   0.544544
58011.19098  9.636  0.016 W2  5  1.3391 279.601610   0.544533
56933.26228  9.654  0.016 W2 10  1.3410 279.601614   0.544520
57843.67340  9.644  0.018 W2  5  1.3413 279.601601   0.544566
57650.75979  9.635  0.015 W2  5  1.3424 279.601607   0.544547
56750.97472  9.657  0.014 W2  5  1.3443 279.601605   0.544557
58208.24348  9.617  0.017 W2  5  1.3456 279.601608   0.544548
56930.50007  9.639  0.015 W2 10  1.3461 279.601609   0.544544
56930.17128  9.617  0.014 W2 10  1.3468 279.601617   0.544513
57479.45478  9.605  0.016 W2  5  1.3469 279.601593   0.544589
57479.38920  9.626  0.015 W2  5  1.3483 279.601607   0.544555
56932.53875  9.647  0.016 W2 10  1.3498 279.601616   0.544520
57479.65126  9.610  0.015 W2  5  1.3502 279.601609   0.544548
58574.48173  9.629  0.017 W2  5  1.3503 279.601603   0.544567
58739.56466  9.655  0.015 W2  5  1.3506 279.601613   0.544535
58372.40416  9.621  0.016 W2  5  1.3518 279.601618   0.544516
58011.25643  9.635  0.016 W2 10  1.3521 279.601619   0.544508
58207.72000  9.599  0.016 W2  5  1.3522 279.601605   0.544564
58574.35083  9.611  0.016 W2  5  1.3561 279.601600   0.544579
57479.52023  9.635  0.014 W2  5  1.3573 279.601618   0.544523
57479.45465  9.620  0.016 W2  5  1.3584 279.601609   0.544556
58574.93964  9.621  0.015 W2  5  1.3591 279.601609   0.544557
57843.41146  9.634  0.018 W2  5  1.3609 279.601606   0.544567
57479.91345  9.655  0.017 W2  5  1.3613 279.601614   0.544542
57477.16103  9.632  0.018 W2  5  1.3638 279.601608   0.544565
58575.46300  9.645  0.015 W2  5  1.3644 279.601611   0.544556
58372.14235  9.617  0.016 W2  5  1.3659 279.601622   0.544513
57111.89095  9.636  0.015 W2  5  1.3692 279.601612   0.544556
57112.15365  9.636  0.015 W2 10  1.3695 279.601615   0.544547
57844.00079  9.632  0.016 W2  5  1.3706 279.601612   0.544557
57111.89108  9.617  0.015 W2 10  1.3708 279.601600   0.544590
57112.48193  9.636  0.018 W2  5  1.3709 279.601622   0.544524
58738.58340  9.588  0.015 W2  5  1.3710 279.601626   0.544500
58011.91121  9.630  0.015 W2  5  1.3722 279.601626   0.544503
57479.58581  9.605  0.015 W2  5  1.3731 279.601613   0.544557
58939.02481  9.631  0.015 W2  5  1.3741 279.601617   0.544545
57479.06156  9.656  0.015 W2  5  1.3753 279.601613   0.544559
56750.38209  9.643  0.016 W2  5  1.3788 279.601622   0.544529
57112.87591  9.636  0.016 W2  5  1.3798 279.601612   0.544566
58575.20132  9.618  0.015 W2  5  1.3811 279.601620   0.544541
58574.80886  9.649  0.015 W2  5  1.3818 279.601613   0.544564
58207.91622  9.610  0.018 W2  5  1.3819 279.601617   0.544553
56749.98721  9.617  0.014 W2 10  1.3833 279.601610   0.544574
56749.85555  9.621  0.015 W2  5  1.3844 279.601607   0.544583
57476.50562  9.626  0.015 W2  0  1.3870 279.601616   0.544562
57843.47692  9.621  0.015 W2  5  1.3891 279.601615   0.544564
58938.69781  9.630  0.016 W2  0  1.3893 279.601624   0.544536
56750.84305  9.651  0.018 W2  5  1.3908 279.601623   0.544543
58207.98168  9.631  0.017 W2  5  1.3934 279.601617   0.544564
57476.57120  9.532  0.019 W2  5  1.3936 279.601615   0.544570
57476.04695  9.639  0.017 W2  5  1.3940 279.601616   0.544568
56750.71139  9.646  0.016 W2  5  1.3943 279.601618   0.544560
