index,ra,dec,class,cat
1838,83.693916666,-5.390388888,D,Megeath
1839,83.58625,-5.389805555,P,Megeath
1840,83.81575,-5.389416666,D,Megeath
1841,83.792541666,-5.389333333,D,Megeath
1842,83.821958333,-5.387972222,D,Megeath
1843,83.8395,-5.387972222,D,Megeath
1844,83.463791666,-5.387805555,D,Megeath
1845,83.774,-5.387694444,D,Megeath
1846,83.776708333,-5.387638888,D,Megeath
1847,83.792708333,-5.387638888,P,Megeath
1848,83.82775,-5.38725,P,Megeath
1849,83.768166666,-5.387111111,D,Megeath
1850,83.85,-5.387111111,D,Megeath
1851,83.844916666,-5.387027777,D,Megeath
